id,price,brand,model,processor,ram memory,display size,storage capacity,cpu cores,graphics card,rating,reviews,name
0c37e930fd,95500,acer,Aspire 5,3.0,8,15.6,256,6,,5.0,2,"Acer Aspire 5 i3 11Th Gen 8GB Ram 256gb Ssd 15.6"" Fhd Display"
ca07d42844,59999,dell,Vostro 3520,5.0,8,15.6,256,10,,5.0,3,"Dell Vostro 3520 i5 12th Gen | 8GB RAM | 256GB SSD | 15.6"" 120Hz FHD | Black"
0f6b524dbd,155000,apple,MacBook Air,7.5,8,13.6,256,8,2800.0,4.8,18,"Apple MacBook Air 13.6"" M2/8C CPU/8C GPU/8GB/256GB - EvoStore"
c42cd86d26,205000,asus,Zephyrus G15,9.0,16,15.6,1024,8,3050.0,4.3,3,"ASUS Zephyrus G15 GA503QE / Ryzen 9 5900HS / RTX 3050ti 4GB / 16GB RAM / 1TB SSD / 15.6"" FHD 144hz"
05dbfdfc5f,77000,asus,VivoBook I512th,5.0,16,14.0,512,10,,5.0,3,"Asus VivoBook I512th Gen 16GB/512GB/14""inch display/Numpad/Windows 11"
f45145790e,44999,dell,Latitude E7390,5.0,8,13.3,256,2,2800.0,4.5,2,Dell Latitude E7390 Laptop I5-8th Gen 256 GB SSD 8 GB RAM Ultrabook
af422d4d01,38500,avita,Magus Cosmos,2.0,4,11.6,64,2,,4.8,4,AVITA Magus Cosmos 2in1 NS12T5IN025P/ N4000
a67afa6ad0,54999,asus,Vivobook Go,3.0,8,15.6,256,8,2800.0,4.0,1,"Asus Vivobook Go E1504 Intel Core i3 N305 Thin and Light Laptop - 8GB DDR4 RAM - 256GB NVMe SSD - 15.6"" FHD Display - Silver"
f1e135a3f7,45000,dell,Latitude E5300,5.0,8,13.3,256,2,,4.3,3,Dell Latitude E5300 i5-8th Gen 8GB 256 SSD 13.3″ Ultrabook
c3940f96bd,40000,dell,5470 Intel,2.0,8,14.0,256,4,1500.0,5.0,3,"Dell 5470 Intel Celeron, 8GB RAM 256GB SSD, 14"" FHD DISPLAY, BACKLIT KEYBOARD, BLACK"
a47ad9dbea,93990,asus,ZENBOOK 14X,5.0,8,14.0,512,12,2800.0,4.0,1,ASUS ZENBOOK 14X OLED Q410VA Core i5 -13500H / 8 GB DDR5 RAM/ 512GB SSD/ 14.5″ OLED Touch Screen / Backlit Keyboard/ Win 11
e8ef92950f,98990,hp,Victus 15,5.0,16,15.6,512,6,2050.0,3.5,2,"HP Victus 15 Ryzen 5 7535HS /16 GB DDR5 RAM/ 512 GB NVME SSD/15.6"" 144Hrz Display / 4GB RTX 2050 DDR6 Graphics/Backlit Keyboard/ Win 11"
c6a79de2b4,85000,asus,ZenBook 14,5.0,8,14.0,256,6,,4.7,3,"Asus ZenBook 14 Q407IQ Laptop / Ryzen 5 4500U / MX350 / 8GB RAM / 256GB SSD / 14"" FHD display"
7e86fa182f,71990,lenovo,IP Slim,5.0,8,15.6,512,8,1500.0,4.5,2,"Lenovo IP Slim 3 Core i5 13th Gen 13420H/ 8GB DDR 5 RAM/512 GB SSD/15.6"" FHD/Win 11"
b8176c58ab,33999,lenovo,V14 Celeron,2.0,4,14.0,256,2,,0.0,0,"Lenovo V14 Celeron | 4GB RAM | 256GB SSD | 14"" HD Display Laptop"
2f2d30a2b8,61500,dell,Vostro 3520,5.0,8,15.6,512,10,,4.0,1,"Dell Vostro 3520 i5 12th Gen | 8GB RAM | 512GB SSD | 15.6"" 120Hz FHD | Black"
0f59a2a896,52500,dell,Inspiron 15,3.0,8,15.6,512,6,1500.0,4.0,2,Dell Inspiron 15 3520 - i3 1215U | 8GB | 512GB SSD | Intel UHD | FHD | UBT | 2 Years Warranty
4e68293e5a,81990,acer,Swift 3,7.0,8,14.0,512,8,,5.0,3,"Acer Swift 3 Laptop /Ryzen 7 5700U/8GB/512 GB/14"" FHD/Backlit Keyboard/Win 10"
73a4f334a1,46990,dell,Vostro 3520,3.0,8,15.6,512,6,,5.0,2,"Dell Vostro 3520 i3 12th Gen | 8GB RAM | 512GB SSD | 15.6"" FHD 120Hz Display Laptop"
54e23d4745,63499,dell,Vostro 3520,5.0,8,15.6,256,10,2800.0,5.0,1,Dell Vostro 3520 Intel Core i5 12th Generation – 8GB DDR4 RAM – 256GB SSD Storage – Intel UHD Graphics – 15.6″ FHD Display – Black
6ebf92e0ff,47400,chuwi,GemiBook X,2.0,8,15.6,256,4,2800.0,4.5,2,"CHUWI GemiBook X Laptop丨15.6"" IPS Display Intel 11th Gen. Celeron N5100 CPU Upto 2.8GHz丨8G DDR4丨256GB SSD Windows 11 + Free Gift"
08adb7f9eb,143900,dell,G5 15,5.0,8,15.6,256,6,3050.0,5.0,1,"Dell G5 15 5511 / i5-11400H / 8GB / 256 SSD / NVIDIA RTX 3050-4GB GDDR6 / 15.6"" FHD"
d02745d817,59999,dell,Vostro 15,5.0,8,15.6,256,6,,5.0,1,"Dell Vostro 15 3520 (Intel Core i5 - 1235U Processor | 8GB RAM | 512GB SSD | Intel UHD Graphics Card | 15.6"" FHD Display)"
a17459b25e,54899,acer,Aspire 3,3.0,8,14.0,512,4,1500.0,5.0,1,Acer Aspire 3 AL14-31P Ultraslimbook i3-N305-8GB RAM-512GB SS-14FHD-Sliver Color
9176c1a491,76999,lenovo,IdeaPad Flex,3.0,4,14.0,128,4,2000.0,5.0,1,"Lenovo IdeaPad Flex 5 14ARE05 2-in-1 / Ryzen 3 4300U / 4GB RAM / 128GB SSD / 14"" FHD 360 TouchScreen Display"
e68362eea4,51998,dell,Inspiron 3511,3.0,8,15.6,256,2,1500.0,5.0,1,"Dell Inspiron 3511 i3 1115G4/8gb RAM/256gb SSD/15.6"" FHD/Windows 11 Home/11th Gen Laptop"
