price,brand,model,processor,ram memory,display size,storage capacity,cpu cores,graphics card,graphics memory,rating,reviews,name
155000,apple,MacBook Air,Apple M2,8,13.6,256,,,,4.8,18,"Apple MacBook Air 13.6"" M2/8C CPU/8C GPU/8GB/256GB - EvoStore"
205000,asus,Zephyrus G15,Ryzen 9 Octa Core,16,15.6,1TB,,,,4.3,3,"ASUS Zephyrus G15 GA503QE / Ryzen 9 5900HS / RTX 3050ti 4GB / 16GB RAM / 1TB SSD / 15.6"" FHD 144hz"
77000,asus,VivoBook I512th,Intel Core i5,16,14,512,Deca Core,,,5.0,3,"Asus VivoBook I512th Gen 16GB/512GB/14""inch display/Numpad/Windows 11"
44999,dell,Latitude E7390,Intel Core i5,8,13.3,256,Dual Core,,,4.5,2,Dell Latitude E7390 Laptop I5-8th Gen 256 GB SSD 8 GB RAM Ultrabook
38500,avita,Magus Cosmos,Celeron,4,Not Specified,64,Dual Core,,,4.8,4,AVITA Magus Cosmos 2in1 NS12T5IN025P/ N4000
51999,asus,Vivobook Go,Intel Core i3,8,15.6,256,Not Specified,,,4.0,1,"Asus Vivobook Go E1504 Intel Core i3 N305 Thin and Light Laptop - 8GB DDR4 RAM - 256GB NVMe SSD - 15.6"" FHD Display - Silver"
45500,dell,Latitude E5300,Intel Core i5,8,13.3,256,Dual Core,,,4.3,3,Dell Latitude E5300 i5-8th Gen 8GB 256 SSD 13.3″ Ultrabook
40000,dell,5470 Intel,Intel Celeron,8,14,256,Dual Core,,,5.0,3,"Dell 5470 Intel Celeron, 8GB RAM 256GB SSD, 14"" FHD DISPLAY, BACKLIT KEYBOARD, BLACK"
93990,asus,ZENBOOK 14X,Intel Core i5,8,14,512,Dodeca Core,,,4.0,1,ASUS ZENBOOK 14X OLED Q410VA Core i5 -13500H / 8 GB DDR5 RAM/ 512GB SSD/ 14.5″ OLED Touch Screen / Backlit Keyboard/ Win 11
98990,hp,Victus 15,Ryzen 5 Hexa Core,16,15.6,512,,,,3.5,2,"HP Victus 15 Ryzen 5 7535HS /16 GB DDR5 RAM/ 512 GB NVME SSD/15.6"" 144Hrz Display / 4GB RTX 2050 DDR6 Graphics/Backlit Keyboard/ Win 11"
85000,asus,ZenBook 14,Ryzen 5,8,14,256,Hexa Core,,,4.7,3,"Asus ZenBook 14 Q407IQ Laptop / Ryzen 5 4500U / MX350 / 8GB RAM / 256GB SSD / 14"" FHD display"
71990,lenovo,IP Slim,Intel Core i5,8,15.6,512,Octa Core,,,4.5,2,"Lenovo IP Slim 3 Core i5 13th Gen 13420H/ 8GB DDR 5 RAM/512 GB SSD/15.6"" FHD/Win 11"
32001,lenovo,V14 Celeron,Intel Celeron,4,14,256,Not Specified,,,0.0,0,"Lenovo V14 Celeron | 4GB RAM | 256GB SSD | 14"" HD Display Laptop"
61500,dell,Vostro 3520,Intel Core i5,8,15.6,512,Not Specified,,,4.0,1,"Dell Vostro 3520 i5 12th Gen | 8GB RAM | 512GB SSD | 15.6"" 120Hz FHD | Black"
52500,dell,Inspiron 15,Intel Core i3,8,15.6,512,Not Specified,,1 & Under,4.0,2,Dell Inspiron 15 3520 - i3 1215U | 8GB | 512GB SSD | Intel UHD | FHD | UBT | 2 Years Warranty
81990,acer,Swift 3,Ryzen 7,8,14,512,Octa Core,,,5.0,3,"Acer Swift 3 Laptop /Ryzen 7 5700U/8GB/512 GB/14"" FHD/Backlit Keyboard/Win 10"
46990,dell,Vostro 3520,Intel Core i3,8,15.6,512,Not Specified,,,5.0,2,"Dell Vostro 3520 i3 12th Gen | 8GB RAM | 512GB SSD | 15.6"" FHD 120Hz Display Laptop"
59999,dell,Vostro 3520,Intel Core i5,8,15.6,256,Not Specified,,,5.0,1,Dell Vostro 3520 Intel Core i5 12th Generation – 8GB DDR4 RAM – 256GB SSD Storage – Intel UHD Graphics – 15.6″ FHD Display – Black
47400,chuwi,GemiBook X,Intel Celeron,8,15.6,256,Quad Core,,,4.5,2,"CHUWI GemiBook X Laptop丨15.6"" IPS Display Intel 11th Gen. Celeron N5100 CPU Upto 2.8GHz丨8G DDR4丨256GB SSD Windows 11 + Free Gift"
143900,dell,G5 15,Intel Core i5,8,15.6,256,,,4,5.0,1,"Dell G5 15 5511 / i5-11400H / 8GB / 256 SSD / NVIDIA RTX 3050-4GB GDDR6 / 15.6"" FHD"
59999,dell,Vostro 15,Intel Core i5,8,15.6,256,Not Specified,,,5.0,1,"Dell Vostro 15 3520 (Intel Core i5 - 1235U Processor | 8GB RAM | 512GB SSD | Intel UHD Graphics Card | 15.6"" FHD Display)"
54899,acer,Aspire 3,Intel Core i3,8,14,512,Not Specified,,,5.0,1,Acer Aspire 3 AL14-31P Ultraslimbook i3-N305-8GB RAM-512GB SS-14FHD-Sliver Color
65000,lenovo,IdeaPad Flex,AMD,4,14,128,Quad Core,,Not Specified,5.0,1,"Lenovo IdeaPad Flex 5 14ARE05 2-in-1 / Ryzen 3 4300U / 4GB RAM / 128GB SSD / 14"" FHD 360 TouchScreen Display"
51998,dell,Inspiron 3511,Intel Core i3,8,15.6,256,Dual Core,,,5.0,1,"Dell Inspiron 3511 i3 1115G4/8gb RAM/256gb SSD/15.6"" FHD/Windows 11 Home/11th Gen Laptop"
52990,lenovo,IP 3,Intel Core i3,8,15.6,256,Hexa Core,,,3.0,1,"Lenovo IP 3 Slim 3 Core i3 13th Gen/8 GB DDR5 RAM/256 GB SSD/15.6"" FHD/ Win 11"
69444,asus,Vivobook Go,Intel Core i3,8,14,256,Octa Core,,,5.0,1,"ASUS Vivobook Go E1404GA - (Intel i3 13th Gen N305, 14"" FHD Display, 8GB RAM, 256GB SSD, Fingerprint, Bagpack, Mouse Win11, 2 Yrs Int'l Warranty)"
69999,acer,Travelmate P2,Intel Core i5,8,14,512,Not Specified,,,5.0,2,Acer Travelmate P2 i5 12th Gen 1235U – 8GB DDR4 RAM – 512GB SSD – 14″ FHD Display – Intel UHD Graphics - Backlit Keyboard
51998,lenovo,IdeaPad Slim,Intel Core i3,8,14,256,Not Specified,,,3.0,2,"Lenovo IdeaPad Slim 3i 2023 15 i3 13Th Gen / 8GB RAM / 256GB / 15.6"" FHD display"
88000,hp,Pavilion Aero,Ryzen 5,16,13.3,1TB,Not Specified,,,5.0,2,HP Pavilion Aero 13 With Ryzen 5 5500U Processor 13.3 Inch WQXA Display 16GB RAM 1 TB ROM
95990,asus,Zenbook Q410VA,Intel Core i5,8,14,512,Dodeca Core,,,5.0,2,"Asus Zenbook Q410VA i5 13th Gen 13500H EVO 8GB RAM 512GB ssd 14.5"" OLED Touch Laptop"
93999,asus,ZenBook 14x,Intel Core i5,8,14,512,Dodeca Core,,,3.5,2,"Asus ZenBook 14x Oled | 13th Gen Intel Evo Core i5 | 8GB RAM 512GB SSD | 14.5"" OLED 2.8K Touchscreen | Backlit | Grey | Win 11"
137490,acer,Predator Helios,Intel Core i7,16,15.6,1TB,,,,5.0,1,"Acer Predator Helios 300 / i7 11th Gen / RTX 3060 / 16GB RAM / 1TB SSD /15.6"" QHD 165Hz Display"
179000,lenovo,Legion Slim,Intel Core i7,16,15.6,1TB,,,,5.0,1,Lenovo Legion Slim 5 2023 AMD Ryzen™ 5 7640HS/ RTX 4060 8 GB / 16 GB DDR5 RAM /1TB Gen 4 SSD / 16” WQXGA Display / 165Hz Refresh Rate
200000,asus,GA401Q Zephyrus,AMD,,14,,,,62917,5.0,1,Asus GA401Q Zephyrus-Ryzen 7 5800HS-15.6 fhd 144hz RTX3060 6GB
89999,lenovo,LOQ 15IRH8,Intel Core i5,8,15.6,512,Octa Core,,,0.0,0,Lenovo LOQ 15IRH8 | 12th Gen Intel Core i5 12450H Processor | 8GB DDR5 RAM | 512GB SSD | NVIDIA GeForce RTX 2050 4GB Graphics Card | 15.6-inch FHD 144Hz Display | 1 Year Warranty | Lenovo Laptop| Windows | Gaming Laptop | Grey
35899,lenovo,Ideapad 1,Intel Celeron,8,15.6,256,Dual Core,,,0.0,0,Lenovo Ideapad 1 | Celeron N4020 | 8GB RAM | 256GB SSD | 15.6″
148888,asus,Vivobook Flip,Intel,16,14,512,Not Specified,,,5.0,1,"Asus Vivobook Flip Tp3402, i7, 12700h, 8Gb, 512Gb SSD, Touch 360 Display, Windows 11, Backlit Keyboard, Magic Numpad | Nagmani International"
238888,asus,vivobook pro,Ryzen 9 Octa Core,16,Not Specified,1TB,Octa Core,,,5.0,1,"Asus vivobook pro 16x m7600qe - oled 5th gen/ r9 5900hx/16 gb ram/1 tb nvme ssd/16"" 4k (3840 x 2160) 90 hz , dialpad oled display/ nvidia rtx 3050ti 4 gb graphics/ backlit kb/backpack/mouse/genuine windows 11/2 year international warranty"
49999,chuwi,HeroBook Plus,Intel Celeron,8,15.6,256,Quad Core,,,1.0,1,"CHUWI HeroBook Plus 15.6"" Windows 10 Laptop 丨8GB LPDDR4丨256GB SSD丨IPS Display Windows 10 Home, Plastic Thin Body, Light and Portable + Free Gift"
95500,asus,Vivobook 14,Intel Core i5,8,14,512,Not Specified,,,5.0,1,Asus Vivobook 14 X1404VA-EB149W i5- 1335U | 8GB | 512SSD | Intel® UHD Graphics | FHD
86999,acer,Swift Go,AMD,16,14,512,Hexa Core,,,5.0,1,Acer Swift Go 14 AMD Ryzen 5 7530U Processor – 16GB DDR4 RAM – 512GB NVMe SSD – 14″ FHD IPS Screen – Backlit Keyboard – Silver
63900,dell,Inspiron 15,Ryzen 3 Quad Core,4,15.6,1TB,Not Specified,,1 & Under,1.0,1,"Dell Inspiron 15 3515 / AMD Ryzen 3 3250U / 4GB / 1TB HDD / Radeon Graphics / 15.6"" FHD"
93500,dell,Inspiron 15,Intel Core i5,8,15.6,512,Not Specified,,1 & Under,5.0,1,Dell Inspiron 15 3530 - i5 1335U | 8GB | 512SSD | Intel UHD | FHD | 2 Years Warranty
71999,lenovo,IdeaPad Slim,Intel Core i5,8,15.6,512,Not Specified,,,5.0,1,Lenovo IdeaPad Slim 3 13th Gen 13420H Intel Core i5 – 8GB DDR5 RAM – 512GB NVMe SSD – Intel Iris Xe Graphics – 15.6″ FHD TN Display – Arctic Grey
39999,dell,Latitude 5480,Intel Core i5,8,14,256,Dual Core,,,5.0,1,Dell Latitude 5480 Intel Core I5 6th Gen 2.4 GHz Processor 8 GB RAM 256 GB SSD 14 Inch Touch Screen
90000,hp,255 G8,Ryzen 7,8,15.6,512,Hexa Core,,,4.0,1,Hp 255 G8 Ryzen 7 5700u 15.6 fullhd 512 ssd 8 gb ram silver color
63990,dell,Vostro 3520,Intel Core i5,12,15.6,512,Deca Core,,,1.0,1,"Dell Vostro 3520 Core i5 12th Gen/ 12GB RAM/512 GB SSD/15.6"" FHD/Win 11"
119000,honor,MagicBook X14,Intel Core i5,8,14,512,Quad Core,,Integrated Graphics Card,5.0,1,"HONOR MagicBook X14 (2023), 12th Gen Intel Core i5-12450H (8GB/512GB NVMe SSD, 14-inch (35.56 cm) FHD IPS Anti-Glare T&L Laptop/Win 11/Backlit Keyboard/Fingerprint Login/1.43Kg), Gray"
32998,lenovo,V15 celeron,Intel Celeron,4,15.6,256,Dual Core,,,4.0,1,"Lenovo V15 celeron Laptop 4GB,256GB SSD,15.6 inch Display"
94000,hp,Pavilion 14,Intel Core i5,8,14,512,Deca Core,,,5.0,1,"HP Pavilion 14 X360 Intel Core i5 12th Generation 8GB Ram 512GB SSD 14.0"" Touch 360"
66999,dell,Inspiron 3520,Intel Core i5,8,15.6,512,Not Specified,,,5.0,1,"Dell Inspiron 3520 i5 12th Gen | 8GB RAM | 512GB SSD | 15.6"" 120Hz FHD | Black"
51990,acer,Aspire 5/Core,Intel Core i3,4,15.6,1TB,Dual Core,,,5.0,1,"Acer Aspire 5/Core i3 11th Gen/4GB RAM/128GB SSD/1TB HDD/15.6""FHD/WIN10 Genuine"
66499,dell,Vostro i5,Intel Core i5,8,15.6,512,Not Specified,,,4.0,1,Dell Vostro i5-11th Gen 8/512
94999,acer,Aspire 5,Intel Core i7,8,15.6,512,Deca Core,,,2.0,1,Acer Aspire 5 i7 13th Gen 1355U 2023 – 8GB DDR5 RAM – 512GB NVMe SSD – 15.6″ FHD Display – Iris Xe Graphics – Steel Grey
62000,dell,Inspiron 3501,Intel Core i3,4,15.6,256,Dual Core,,,5.0,1,Dell Inspiron 3501 i3 10th Gen 4GB RAM 256GB SSD 15.’’6 FHD
79999,gateway,GWTN156 Ryzen,Ryzen 5,8,15.6,512,Not Specified,,,4.0,1,"GateWay GWTN156 Ryzen 7 3700U I 8GB RAM I 512GB SSD I 15.6"" FHD IPS I Ultra Slim Laptop"
73990,asus,Vivo Book,Intel Core i5,8,14,512,Dodeca Core,,,5.0,1,"ASUS Vivo Book X1402Z Core i5 12th Gen/8GB RAM/512 GB SSD/14"" FHD Display/Magic Numpad/ Win 11"
125000,lenovo,Flex 5,Intel Core i7,16,15.6,512,Octa Core,,,3.0,1,Lenovo Flex 5 i7 11th gen 16gb ram 512 ssd 15.6 full hd ips x360 Touch
95990,dell,Vostro 3520,Intel Core i7,8,15.6,512,Deca Core,,,1.0,1,Dell Vostro 3520 i7 12th Gen 8GB RAM 512GB SSD 15.6″ Full HD NVIDIA MX550 2GB Laptop
76999,acer,Aspire 5,Intel Core i5,8,15.6,512,Deca Core,,,5.0,1,"Acer Aspire 5 Intel Core i5 13th Gen 8GB Ram 512GB SSD 15.6""FHD"
96900,hp,ProBook 440,Intel Core i5,8,14,512,Hexa Core,,,5.0,1,HP ProBook 440 G10 I5-13th Gen/8GB RAM/512GB SSD/14 HD Display
155000,hp,Envy x360,Intel Core i7,16,14,1TB,Deca Core,,,5.0,1,"HP Envy x360 14 i7 13th Gen \ 16GB RAM \ 1TB SSD \ 14"" FHD 360 Touch Screen Display"
75000,dell,Vostro 3510,Intel Core i5,8,15.6,512,Dual Core,,,5.0,1,"Dell Vostro 3510 / i5-1135G7 11th Gen / 8GB RAM / 512GB SSD / Intel UHD Graphic 15.6"" FHD"
69999,dell,Vostro 3510,Intel Core i5,8,15.6,256,Quad Core,,,5.0,1,Dell Vostro 3510 i5-1135G7 11th Gen 8GB RAM 256 GB SSD Intel UHD Graphic 15.’’6 FHD
48000,hp,14 Fq0051Nr,Not Specified,8,14,256,Not Specified,,,4.0,1,HP 14 Fq0051Nr With Athlon Tmsor Processor 14.0 HD Display 8GB RAM 256GB ROM
69990,dell,Vostro 3510,Intel Core i5,8,15.6,512,Quad Core,,,4.0,1,Dell Vostro 3510 i5 11th Gen 8GB 512ssd 15.6FHD Screen Backlit Keyboard Laptop
60990,acer,Aspire 3,AMD,8,15.6,512,Quad Core,,,5.0,1,Acer Aspire 3 AMD Ryzen 5 7520u 8GB RAM 512GB SSD 15.6″ FHD Laptop
66999,dell,Vostro 3510,Intel Core i5,8,15.6,1TB,Hexa Core,,,5.0,1,Dell Vostro 3510 /15.6″ FHD /Intel Core I5 1135G7 /8 GB RAM /256 GB SSD/1TB HDD
93999,hp,Pavilion X360,Intel Core i5,8,14,256,Hexa Core,,Not Specified,5.0,1,"HP Pavilion X360 14"" Core i5 1035G1 8GB RAM 256GB SSD Convertible Laptop"
63500,lenovo,Ideapad 3,AMD,8,14,256,Quad Core,,,3.0,1,"Lenovo Ideapad 3 AMD Ryzen 5 5500U processor, 8GB RAM, 256 GB SSD, 14 FULL HD, Windows 10"
70999,dell,Vostro 3510,Intel Core i5,8,15.6,250,Dual Core,,,4.0,1,Dell Vostro 3510 i5-1135G7 11th Gen 8GB RAM 256 GB SSD Intel UHD Graphic 15.’’6 FHD
87990,hp,ENVY x360,Intel Core i5,8,14,512,Deca Core,,,0.0,0,HP ENVY x360 2-in-1 Laptop Intel Core i5 13th Gen 8GB RAM 512GB SSD 14.0 Inch Touchscreen Backlit Keyboard Win 11
88000,dell,Latitude 3410,Intel Core i5,8,14,256,Single Core,,Not Specified,5.0,1,"Dell Latitude 3410 i5 10th Gen 8GB RAM 256 GB SSD 14"""
31290,lenovo,V14 Celeron,Intel Celeron,4,14,256,Hexa Core,,,0.0,0,Lenovo V14 Celeron 4Gb Ram 256Gb SSD 14 FHD
34500,lenovo,Ideapad 1,Intel,8,14,256,Quad Core,,Integrated Graphics Card,0.0,0,"Lenovo Ideapad 1-14IGL (Intel Core Celeron - N4020 Processor | 8GB RAM | 256GB SSD | Intel UHD Graphics 600 | 14"" HD Display)"
36000,lenovo,IdeaPad 1,Intel Celeron,8,14,256,Dual Core,,,0.0,0,"Lenovo IdeaPad 1 2023 Laptop | Intel celeron N4020 | 14"" FHD Display | 8GB LPDDR4 | 256GB SSD"
65490,dell,Vostro 3520,Intel Core i5,16,15.6,512,Deca Core,,,0.0,0,"Dell Vostro 3520 Core i5 12th Gen/ 16GB RAM/512 GB SSD/15.6"" FHD/Win 11"
62500,acer,Aspire 3,Ryzen 5 Quad Core,8,15.6,512,Quad Core,,,0.0,0,"Acer Aspire 3 Ryzen 5 7520U/ 8 GB DDR5 RAM/ 512 GB SSD NVME/15.6"" FHD/Win 11"
184990,lenovo,ThinkPad P14S,Intel Core i7,16,14,512,Quad Core,,,0.0,0,"Lenovo ThinkPad P14S Core i7 11th Gen/ 16GB RAM/512 GB SSD/Nvidia Quadro 4GB Graphics/14"" IPS FHD/Backlit Keyboard /Fingerprint / Win 11 Pro (Workstation)"
37999,lenovo,Ideapad1 Intel,Intel Celeron,8,14,256,Not Specified,,Not Specified,0.0,0,Lenovo Ideapad1 Intel Celeron N4020 Ram 8GB SSD 256 GB 14 Inch Display
47000,dell,Vostro 3520,Intel Core i3,8,15.6,256,Not Specified,,,0.0,0,"Dell Vostro 3520 i3 12th Gen | 8GB RAM | 256GB SSD | 15.6"" FHD 120Hz Display Laptop"
147990,dell,Latitude 7420,Intel Core i7,16,14,512,Quad Core,,,0.0,0,"Dell Latitude 7420 Core i7 1185G7 VPro/ 16GB RAM/ 512GB SSD/ 14"" FHD/Backlit Keyboard/Win 11 Professional (Business Series Premium Laptop) 7000 Series"
56500,dell,Laptop 3520,Intel Core i3,8,15.6,512,Octa Core,,Integrated Graphics Card,0.0,0,Dell Laptop 3520 I3 12th Generation 8gb 512gb
58000,acer,Aspire lite,Intel Core i3,8,14,512,Quad Core,,Integrated Graphics Card,0.0,0,Acer Aspire lite i3 13 Gen 8Gb Ram 512 GB SSD 14 Inch FHD Display
